title,source_title,year,oa_status_may,oa_status_june,DOI
Photopatternable Nanolayered Polymeric Films with Fast Tunable Color Responses Triggered by Humidity,Advanced Functional Materials,2019,"All Open Access, Bronze",Closed,10.1002/adfm.201904453
How many girls are we missing in ASD? An examination from a clinic- and community-based sample,Advances in Autism,2019,"All Open Access, Bronze",Closed,10.1108/AIA-11-2018-0048
Blob-based AOMs: A method for the extraction of crop data from aerial images of cotton,Agriculture (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/agriculture10010019
Switchgrass composition and yield response to alternative soil amendments under intensified heat and drought conditions,"Agriculture, Ecosystems and Environment",2016,"All Open Access, Hybrid Gold","All Open Access, Hybrid Gold, Green",10.1016/j.agee.2016.09.041
Weathering the cold: Modifying Membrane and Storage Fatty Acid Composition of Seeds to Improve Cold Germination Ability in Upland Cotton (Gossypium hirsutum L.),Agronomy,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/agronomy9110684
Compensating group delay distortion of signals based on engineered material dispersion,AIP Advances,2017,"All Open Access, Gold","All Open Access, Gold, Green",10.1063/1.4980148
A novel data-driven magnetic resonance spectroscopy signal analysis framework to quantify metabolite concentration,Algorithms,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/A13050120
Place-Based Learning with Out-of-Place Species &amp; Students: Teaching International Students about Biological Invasions,American Biology Teacher,2019,Closed,"All Open Access, Green",10.1525/abt.2019.81.7.503
Determination of evolutionary relationships of outbreakassociated Listeria monocytogenes strains of serotypes 1/2a and 1/2b by wholegenome sequencing,Applied and Environmental Microbiology,2016,"All Open Access, Bronze, Green","All Open Access, Green",10.1128/AEM.02440-15
High sensitivity hexagonal boron nitride lateral neutron detectors,Applied Physics Letters,2019,"All Open Access, Green",Closed,10.1063/1.5098331
Effectiveness of computer-generated virtual reality (VR) in learning and teaching environments with spatial frameworks,Applied Sciences (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/APP10165438
Development cycle modeling: Process risk,Applied Sciences (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/app10155082
An ECG signal de-noising approach based on wavelet energy and sub-band smoothing filter,Applied Sciences (Switzerland),2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/APP9224968
