Page,Pageviews,Avg. Time on Page,Year,Name
/library/,140494,304.09,2019,Home
/library/docdel/,11611,290.28,2019,DocDel
/library/libstaff/,7474,409.83,2019,Internal
/library/research-support/personallibrarians/,1958,187.14,2019,Personal Librarians
/library/studyspaces/,1676,156.28,2019,Study Spaces
/library/collections/theses-dissertations/,1612,268,2019,ETD
/library/about/staff/,1336,95.22,2019,Staff
/library/collections/books/,1249,134.98,2019,Books
/library/arch/,1020,120.53,2019,Arch Lib
/library/about/facility/mapmenu.php,896,89.82,2019,MapMenu
/library/research-support/citation/endnote/,853,52.93,2019,EndNote
/library/technology/ezproxy-error.php,804,111.9,2019,EZProxy
/library/lynda/,752,203.95,2019,Lydna
/library/technology/ezpconfig.php,740,2.42,2019,EZProxy
/library/circulation/accounts.php,733,142.48,2019,Accounts
/library/about/employment/,666,199.07,2019,Jobs
/library/about/employment/index.php,577,150.18,2019,Jobs
/library/about/facility/parking.php,507,134.74,2019,Parking
/library/dms/index.php,478,82.92,2019,DMS
/library/technology/computing_resources.php,448,251.77,2019,Computing
/library/arch/index.php,447,227.72,2019,Arch Lib
/library/research-support/courses/evaluation.php,443,218.12,2019,Course Evaluation
/library/about/admin/org_charts.php,439,217.59,2019,Org Chart
/library/make/index.php,323,61.42,2019,Make
/library/technology/spc.php,307,271.16,2019,SPC
/library/dms/policies.php,297,92.11,2019,DMS Policies
/library/circulation/loan_periods.php,294,103.16,2019,Loan Period
/library/alerts/,274,150.61,2019,Alerts
/library/coursereserve/,264,90.28,2019,Course Reserves
/library/dms/equipment/slr.php,239,100.68,2019,Equip_SLR
/library/studyspaces/index.php,210,83.25,2019,Study Spaces
/library/crossroadsrecordingstudio/,209,58.46,2019,Crossroads
/library/help/undergraduate.php,198,57.65,2019,Undergraduates
/library/dms/equipment/accessories.php,190,56.07,2019,Equip_accessories
/library/help/ask.php,184,117.21,2019,Ask
/library/dms/equipment/video.php,178,82.72,2019,Equip_Video
/library/help/graduate.php,168,50.49,2019,Graduates
/library/research-support/personallibrarians/index.php,168,229.63,2019,Personal Librarians
/library/studyspaces/study-carrel-request.php,162,120.04,2019,Study Carrels
/library/circulation/patron_chart.php,152,91.43,2019,Patron Chart
/library/about/facility/mezzanine.php,150,48.89,2019,maps mezz
/library/coursereserve/request.php,148,143.39,2019,Course Reserves Requests
/library/about/admin/mission.php,147,107.02,2019,Mission
/library/index.php,144,195.88,2019,Home
/library/help/faculty.php,142,41.32,2019,Faculty
/library/grants/gloria-lyerla/index.php,134,94.51,2019,Gloria Lyerla
/library/crossroadsrecordingstudio/studio-time-request.php,129,214.73,2019,Crossroads requests
/library/circulation/library-card-request.php,128,55.65,2019,lib card requests
/library/dms/equipment/gopro.php,126,44.01,2019,equip_gopro
/library/research-support/courses/instruction-tour-request.php,125,177.07,2019,demo request
/library/search_engines/electronic_resources/scifinder_web.php,125,185.15,2019,scifinder_web
/library/user-experience/index.php,125,96.26,2019,UX
/library/circulation/visitors.php,121,78.75,2019,Visitors
/library/collections/bones/,120,42.76,2019,Bones
/library/dms/equipment/noncirc.php,119,32.79,2019,equip_noncirc
/library/3dlab/index.php,111,40.56,2019,3D lab
/library/about/staff/mcdonald-justin/index.php,110,95.2,2019,Staff
/library/event-space/index.php,109,86.01,2019,event space
/library/circulation/overdue_lost_items.php,102,176.8,2019,overdue lost items
/library/help/dis_learn.php,101,133.03,2019,dis learners
/library/,123636,310,2020,Home
/library/docdel/,10063,285.33,2020,DocDel
/library/libstaff/,9551,244.2,2020,Internal
/library/research-support/personallibrarians/,2348,180.97,2020,Personal Librarians
/library/studyspaces/index.php,1818,126.48,2020,Study Spaces
/library/collections/theses-dissertations/,1416,244.5,2020,ETD
/library/about/employment/,1301,192.11,2020,Jobs
/library/about/staff/index.php,1189,61.9,2020,Staff
/library/collections/books/index.php,1022,159.45,2020,Books
/library/arch/,1021,163.92,2020,Arch Lib
/library/circulation/accounts.php,812,129.95,2020,Accounts
/library/research-support/citation/endnote/,734,58.07,2020,EndNote
/library/about/admin/org_charts.php,714,190.57,2020,Org Chart
/library/research-support/courses/evaluation.php,574,196.75,2020,Course Evaluation
/library/dms/index.php,557,71.89,2020,DMS
/library/about/facility/maps/index.php,539,56.8,2020,MapMenu
/library/technology/wifi.php,499,81.81,2020,Wi-Fi
/library/index.php,434,187.5,2020,Home
/library/dms/equipment/slr.php,424,106.07,2020,Equip_SLR
/library/about/facility/maps/ground.php,402,68,2020,maps ground
/library/make/index.php,379,60.73,2020,Make
/library/technology/computing_resources.php,363,96.66,2020,Computing
/library/about/facility/parking.php,354,101.91,2020,Parking
/library/circulation/loan_periods.php,347,85.28,2020,Loan Period
/library/dms/policies.php,346,149.52,2020,DMS Policies
/library/docdel/index.php,334,215.28,2020,DocDel
/library/technology/spc.php,302,150.22,2020,SPC
/library/about/facility/maps/s1.php,299,33.47,2020,maps s1
/library/lynda/,265,160.71,2020,Lydna
/library/about/employment/index.php,246,139.36,2020,Jobs
/library/collections/books/callnum.php,246,213.99,2020,Call numbers
/library/dms/equipment/accessories.php,246,33.89,2020,Equip_accessories
/library/help/graduate.php,240,98.64,2020,Graduates
/library/about/staff/,239,55.67,2020,Staff
/library/dms/media-privileges.php,237,74.74,2020,media privileges
/library/circulation/patron_chart.php,235,73.48,2020,Patron Chart
/library/vrlab/index.php,232,83.2,2020,VR lab
/library/about/facility/maps/basement.php,228,117.32,2020,maps basement
/library/crossroadsrecordingstudio/index.php,226,47.63,2020,Crossroads
/library/about/facility/maps/s3.php,219,53.47,2020,maps s3
/library/help/faculty.php,215,114.3,2020,Faculty
/library/help/ask.php,208,126.17,2020,Ask
/library/coursereserve/index.php,204,57.37,2020,Course Reserves
/library/coursereserve/request.php,200,150.14,2020,Course Reserves Requests
/library/about/index.php,196,156.19,2020,About
/library/research-support/personallibrarians/index.php,195,217.13,2020,Personal Librarians
/library/about/facility/maps/s5.php,187,42.66,2020,maps s5
/library/m/,186,5.52,2020,mobile
/library/research-support/courses/instruction-tour-request.php,180,167.91,2020,demo request
/library/about/facility/maps/s2.php,179,30.75,2020,maps s2
