title,source_title,year,oa_status_october,oa_status_november,DOI
Demographic and developmental patterns in telomere length across adolescence,Biodemography and Social Biology,2020,Closed,"All Open Access, Green",10.1080/19485565.2021.1983758
Platform adoption by mobile application developers: A multimethodological approach,Decision Support Systems,2018,Closed,"All Open Access, Green",10.1016/j.dss.2017.12.013
Anisotropic index of refraction and structural properties of hexagonal boron nitride epilayers probed by spectroscopic ellipsometry,Journal of Applied Physics,2020,Closed,"All Open Access, Green",10.1063/1.5134908
Differential Behavioral and Neural Profiles in Youth With Conduct Problems During Risky Decision-Making,Journal of Research on Adolescence,2020,Closed,"All Open Access, Green",10.1111/jora.12546
A High Order Semi-Lagrangian Discontinuous Galerkin Method for the Two-Dimensional Incompressible Euler Equations and the Guiding Center Vlasov Model Without Operator Splitting,Journal of Scientific Computing,2019,Closed,"All Open Access, Green",10.1007/s10915-018-0889-1
Administration and cross-functional teams in libraries: A case study in failures and solutions,Library Management,2017,Closed,"All Open Access, Green",10.1108/LM-08-2016-0066
Artichoke phenolics confer protection against acute kidney injury,Revista Brasileira de Farmacognosia,2020,Closed,"All Open Access, Green",10.1007/s43450-020-00032-6
The representation of women,The Routledge Handbook of East European Politics,2017,Closed,"All Open Access, Green",10.4324/9781315687681
Educating abo ut comics,The Secret Origins of Comics Studies,2017,Closed,"All Open Access, Green",10.4324/9781315716039
Whither turbulence and big data in the 21st century?,Whither Turbulence and Big Data in the 21st Century?,2016,Closed,"All Open Access, Green",10.1007/978-3-319-41217-7
