title,source_title,year,oa_status_june,oa_status_july,DOI
Row spacing of alfalfa interseeded into native grass pasture influences soil-plant-water relations,Agronomy Journal,2020,"All Open Access, Bronze",Closed,10.1002/agj2.20012
Revisiting electrolyte thermodynamic models: Insights from molecular simulations,AIChE Journal,2018,"All Open Access, Bronze",Closed,10.1002/aic.16327
Development of a hybrid shrinking-core shrinking-particle model for entrained-flow gasifiers,AIChE Journal,2016,"All Open Access, Bronze",Closed,10.1002/aic.15055
Ligand-Controlled Direct γ-C−H Arylation of Aldehydes,Angewandte Chemie - International Edition,2020,"All Open Access, Bronze",Closed,10.1002/anie.201913126
Pyrazine emission by a tropical firefly: An example of chemical aposematism?,Biotropica,2016,"All Open Access, Bronze",Closed,10.1111/btp.12336
Infrared Microscopy as a Probe of Composition within a Model Biofuel Cell Electrode Prepared from Trametes versicolor Laccase,ChemElectroChem,2019,"All Open Access, Bronze",Closed,10.1002/celc.201801178
Recent Advances in the Application of Selectfluor as a “Fluorine-free” Functional Reagent in Organic Synthesis,Chemistry - An Asian Journal,2020,"All Open Access, Bronze",Closed,10.1002/asia.202000011
The Antiferromagnetic Spin Coupling in Non-Kekulé Acenes—Impressive Polyradical Character Revealed by High-Level Multireference Methods,ChemPhysChem,2016,"All Open Access, Bronze",Closed,10.1002/cphc.201600103
Platform adoption by mobile application developers: A multimethodological approach,Decision Support Systems,2018,"All Open Access, Green",Closed,10.1016/j.dss.2017.12.013
The effects of climate downscaling technique and observational data set on modeled ecological responses,Ecological Applications,2016,"All Open Access, Bronze",Closed,10.1890/15-0745
Competition in wearable device market: the effect of network externality and product compatibility,Electronic Commerce Research,2017,"All Open Access, Green",Closed,10.1007/s10660-016-9227-6
Chronic Reproductive Toxicity of Perfluorooctane Sulfonic Acid and a Simple Mixture of Perfluorooctane Sulfonic Acid and Perfluorohexane Sulfonic Acid to Northern Bobwhite Quail (Colinus virginianus),Environmental Toxicology and Chemistry,2020,"All Open Access, Bronze",Closed,10.1002/etc.4703
Mechanisms underlying leaf photosynthetic acclimation to warming and elevated CO2 as inferred from least-cost optimality theory,Global Change Biology,2020,"All Open Access, Bronze",Closed,10.1111/gcb.15212
Comparing temperature sensitivity of bacterial growth in Antarctic marine water and soil,Global Change Biology,2020,"All Open Access, Bronze",Closed,10.1111/gcb.15020
Apparent depth-dependent modulus and hardness of polymers by nanoindentation: Investigation of surface detection error and pressure effects,"Journal of Polymer Science, Part B: Polymer Physics",2018,"All Open Access, Bronze",Closed,10.1002/polb.24554
"Practical Singly and Doubly Electrophilic Aminating Agents: A New, More Sustainable Platform for Carbon-Nitrogen Bond Formation",Journal of the American Chemical Society,2017,"All Open Access, Green",Closed,10.1021/jacs.7b05279
"Information thresholds, habitat loss and population persistence in breeding birds",Oikos,2017,"All Open Access, Bronze",Closed,10.1111/oik.03703
"Sequence stratigraphic framework for mixed aeolian, peritidal and marine environments: Insights from the Pennsylvanian subtropical record of Western Pangaea",Sedimentology,2016,"All Open Access, Bronze",Closed,10.1111/sed.12285
Structural displacement measurements using DC coupled radar with active transponder,Structural Control and Health Monitoring,2017,"All Open Access, Bronze",Closed,10.1002/stc.1909
