title,source_title,year,oa_status_july,oa_status_august,DOI
Ion-Sieving Carbon Nanoshells for Deeply Rechargeable Zn-Based Aqueous Batteries,Advanced Energy Materials,2018,"All Open Access, Bronze",Closed,10.1002/aenm.201802470
Ultrafast and Highly Localized Microwave Heating in Carbon Nanotube Multilayer Thin Films,Advanced Materials Interfaces,2017,"All Open Access, Bronze",Closed,10.1002/admi.201700371
A comprehensive thermodynamic model for high salinity produced waters,AIChE Journal,2020,"All Open Access, Bronze",Closed,10.1002/aic.16818
Observation of gravitational waves from a binary black hole merger,Centennial of General Relativity: A Celebration,2017,"All Open Access, Green",Closed,10.1142/9789814699662_0011
“Inverse” Frustrated Lewis Pairs: An Inverse FLP Approach to the Catalytic Metal Free Hydrogenation of Ketones,Chemistry - A European Journal,2018,"All Open Access, Bronze",Closed,10.1002/chem.201804370
Pearly Esophageal Papules: An Innocent Bystander in the Evaluation of Dysphagia,Clinical Gastroenterology and Hepatology,2018,"All Open Access, Bronze",Closed,10.1016/j.cgh.2017.09.007
"Building disaster resilience using social messaging networks: the WeChat community in Houston, Texas, during Hurricane Harvey",Disasters,2020,"All Open Access, Bronze",Closed,10.1111/disa.12388
Vector population growth and condition-dependent movement drive the spread of plant pathogens,Ecology,2017,"All Open Access, Bronze",Closed,10.1002/ecy.1907
Ecological risk assessment of perfluooroctane sulfonate to aquatic fauna from a bayou adjacent to former fire training areas at a US Air Force installation,Environmental Toxicology and Chemistry,2018,"All Open Access, Bronze",Closed,10.1002/etc.4162
"Bioaccumulation, stress, and swimming impairment in Daphnia magna exposed to multiwalled carbon nanotubes, graphene, and graphene oxide",Environmental Toxicology and Chemistry,2017,"All Open Access, Bronze",Closed,10.1002/etc.3754
Temporal monitoring of perfluorooctane sulfonate accumulation in aquatic biota downstream of historical aqueous film forming foam use areas,Environmental Toxicology and Chemistry,2017,"All Open Access, Bronze",Closed,10.1002/etc.3726
Sustainable technology adoption: A spatial analysis of the Irish Dairy Sector,European Review of Agricultural Economics,2017,"All Open Access, Green",Closed,10.1093/erae/jbx015
Multivariate analysis of soil salination-desalination in a semi-arid irrigated district of Spain,Geoderma,2017,"All Open Access, Green",Closed,10.1016/j.geoderma.2016.12.018
The nitrate/(per)chlorate relationship on Mars,Geophysical Research Letters,2017,"All Open Access, Bronze",Closed,10.1002/2016GL072199
Analysis of refracturing in horizontal wells: Insights from the poroelastic displacement discontinuity method,International Journal for Numerical and Analytical Methods in Geomechanics,2018,"All Open Access, Bronze",Closed,10.1002/nag.2792
Ambient factors controlling the wintertime precipitation distribution across mountain ranges in the interior western United States. Part II: Changes in orographic precipitation distribution in a pseudo-global warming simulation,Journal of Applied Meteorology and Climatology,2019,"All Open Access, Bronze",Closed,10.1175/JAMC-D-18-0173.1
Tensile testing and fracture mechanism analysis of polyvinyl alcohol nanofibrous webs,Journal of Applied Polymer Science,2020,"All Open Access, Bronze",Closed,10.1002/app.49213
Considering the impact of COVID-19 on suicide risk among individuals in prison and during reentry,Journal of Criminal Psychology,2020,"All Open Access, Bronze",Closed,10.1108/JCP-10-2020-0044
"Beginning an Engineer's Journey: A Narrative Examination of How, When, and Why Students Choose the Engineering Major",Journal of Engineering Education,2018,"All Open Access, Bronze",Closed,10.1002/jee.20234
"Factors associated with nest survival of Black-throated Sparrows, desert-breeding nest-site generalists",Journal of Field Ornithology,2017,"All Open Access, Bronze",Closed,10.1111/jofo.12209
Spectral structure of 5year time series of horizontal wind speed at the boulder atmospheric observatory,Journal of Geophysical Research,2016,"All Open Access, Bronze",Closed,10.1002/2016JD025289
Registration of six upland cotton germplasm lines with improved fiber quality through ethyl methane sulfonate treatments and selection,Journal of Plant Registrations,2020,"All Open Access, Bronze",Closed,10.1002/plr2.20005
Water structure and mobility in acrylamide copolymer glycohydrogels with galactose and siloxane pendant groups,"Journal of Polymer Science, Part B: Polymer Physics",2019,"All Open Access, Bronze",Closed,10.1002/polb.24815
"Fleas of the genus Neotyphloceras associated with rodents from Bolivia: new host and distributional records, description of a new species and remarks on the morphology of Neotyphloceras rosenbergi",Medical and Veterinary Entomology,2018,"All Open Access, Bronze",Closed,10.1111/mve.12314
Inactivation of adipose angiotensinogen reduces adipose tissue macrophages and increases metabolic activity,Obesity,2016,"All Open Access, Bronze",Closed,10.1002/oby.21352
On ambitious higher-order theories of consciousness,Philosophical Psychology,2020,"All Open Access, Green",Closed,10.1080/09515089.2020.1731445
Nanospray liquid chromatography/tandem mass spectrometry analysis of steroids from gray whale blubber,Rapid communications in mass spectrometry : RCM,2017,"All Open Access, Bronze",Closed,10.1002/rcm.7884
Risk or Efficacy? How Psychological Distance Influences Climate Change Engagement,Risk Analysis,2020,"All Open Access, Bronze",Closed,10.1111/risa.13446
US immigration policies and dynamics of cross-border workforce in agriculture,World Economy,2018,"All Open Access, Bronze",Closed,10.1111/twec.12684
