title,source_title,year,oa_status_september,oa_status_october,DOI
Risk Analysis and Bioeconomics of Invasive Species to Inform Policy and Management,Annual Review of Environment and Resources,2016,"All Open Access, Bronze",Closed,10.1146/annurev-environ-110615-085532
"LCE: leaf carbon exchange data set for tropical, temperate, and boreal species of North and Central America",Ecology,2017,"All Open Access, Bronze",Closed,10.1002/ecy.1992
Under the hood of a stand-alone lagrangian reachability tool,EPiC Series in Computing,2019,"All Open Access, Bronze",Closed,10.29007/ns8p
"COVID-19 and youth sports: Psychological, Developmental, and Economic Impacts",International Journal of Sport Communication,2020,"All Open Access, Bronze",Closed,10.1123/ijsc.2020-0236
New summer areas and mixing of two greater sandhill crane populations in the Intermountain West,Journal of Fish and Wildlife Management,2016,"All Open Access, Bronze",Closed,10.3996/042015-JFWM-036
Ultrasonic vibration-assisted (UV-A) manufacturing processes: State of the art and future perspectives,Journal of Manufacturing Processes,2020,"All Open Access, Bronze",Closed,10.1016/j.jmapro.2020.01.028
Cryptic Wolbachia (Rickettsiales: Rickettsiaceae) detection and prevalence in culicoides (Diptera: Ceratopogonidae) midge populations in the United States,Journal of Medical Entomology,2020,"All Open Access, Bronze",Closed,10.1093/jme/tjaa003
A High Order Semi-Lagrangian Discontinuous Galerkin Method for the Two-Dimensional Incompressible Euler Equations and the Guiding Center Vlasov Model Without Operator Splitting,Journal of Scientific Computing,2019,"All Open Access, Green",Closed,10.1007/s10915-018-0889-1
Factors influencing ensemble sensitivity-based targeted observing predictions at convection-allowing resolutions,Monthly Weather Review,2020,"All Open Access, Bronze",Closed,10.1175/MWR-D-20-0015.1
Perceptions of Barriers to Effective Obesity Care: Results from the National ACTION Study,Obesity,2018,"All Open Access, Bronze",Closed,10.1002/oby.22054
On sharp bounds for ratios of k-balanced hypergeometric functions,Proceedings of the American Mathematical Society,2020,"All Open Access, Bronze",Closed,10.1090/proc/14751
