title,source_title,year,oa_status_october,oa_status_november,DOI
Photopatternable Nanolayered Polymeric Films with Fast Tunable Color Responses Triggered by Humidity,Advanced Functional Materials,2019,"All Open Access, Bronze",Closed,10.1002/adfm.201904453
The Effects of Mat Pilates Training on Vascular Function and Body Fatness in Obese Young Women with Elevated Blood Pressure,American Journal of Hypertension,2020,"All Open Access, Bronze",Closed,10.1093/ajh/hpaa026
KCNK9 imprinting syndrome—further delineation of a possible treatable disorder,"American Journal of Medical Genetics, Part A",2016,"All Open Access, Bronze",Closed,10.1002/ajmg.a.37740
"Life is uncertain, eat dessert first: Uncertainty causes uncontrolled and unemotional eaters to consume more sweets",Appetite,2018,"All Open Access, Green",Closed,10.1016/j.appet.2018.09.006
Probing carbon impurities in hexagonal boron nitride epilayers,Applied Physics Letters,2017,"All Open Access, Green",Closed,10.1063/1.4982647
Hydroboration of Alkenes and Alkynes Employing Earth-Abundant Metal Catalysts,Asian Journal of Organic Chemistry,2020,"All Open Access, Bronze",Closed,10.1002/ajoc.201900615
Current practices and challenges in auditing fair value measurements and complex estimates: Implications for auditing standards and the academy,Auditing,2017,"All Open Access, Bronze",Closed,10.2308/ajpt-51514
Are existing self-ratings of acute manic symptoms in adults reliable and valid?—A systematic review,Bipolar Disorders,2020,"All Open Access, Bronze",Closed,10.1111/bdi.12906
Location and chemical speciation of Cu in ZSM-5 during the water-gas shift reaction,Catalysis Today,2019,"All Open Access, Green",Closed,10.1016/j.cattod.2018.07.049
An improved multigrid algorithm for n-irregular meshes with subspace correction smoother,Computers and Mathematics with Applications,2018,"All Open Access, Bronze",Closed,10.1016/j.camwa.2018.05.003
Food-energy-water nexus to mitigate sustainability challenges in a groundwater reliant agriculturally dominant environment (GRADE),Environmental Progress and Sustainable Energy,2018,"All Open Access, Bronze",Closed,10.1002/ep.12726
"Bioaccumulation, stress, and swimming impairment in Daphnia magna exposed to multiwalled carbon nanotubes, graphene, and graphene oxide",Environmental Toxicology and Chemistry,2017,"All Open Access, Bronze",Closed,10.1002/etc.3754
Gene flow and rapid differentiation characterize a rapid insular radiation in the southwest Pacific (Aves: Zosterops),Evolution,2020,"All Open Access, Bronze",Closed,10.1111/evo.14043
Using the L1 norm to select basis set vectors for multivariate calibration and calibration updating,Journal of Chemometrics,2016,"All Open Access, Bronze",Closed,10.1002/cem.2778
Addressing an instability in unrestricted density functional theory direct dynamics simulations,Journal of Computational Chemistry,2019,"All Open Access, Bronze",Closed,10.1002/jcc.25604
Hibernacula water chemistry and implications for hibernating bats,Journal of Mammalogy,2017,"All Open Access, Bronze",Closed,10.1093/jmammal/gyx111
Reciprocal influences of parent and adolescent borderline personality symptoms over 3 years,Journal of Personality Disorders,2020,"All Open Access, Bronze",Closed,10.1521/pedi_2020_34_483
"BIAN-Fe(η6-C6H6): Synthesis, characterization, and l-lactide polymerization","Journal of Polymer Science, Part A: Polymer Chemistry",2017,"All Open Access, Bronze",Closed,10.1002/pola.28688
Flow modulation by a mushroom-like coating around the separation region of a wind-turbine airfoil section,Journal of Renewable and Sustainable Energy,2018,"All Open Access, Green",Closed,10.1063/1.5022819
A BURNING QUESTION: DOES ARSON INCREASE WHEN LOCAL HOUSE PRICES DECLINE?,Journal of Risk and Insurance,2017,"All Open Access, Green",Closed,10.1111/jori.12089
"Fleas of the genus Neotyphloceras associated with rodents from Bolivia: new host and distributional records, description of a new species and remarks on the morphology of Neotyphloceras rosenbergi",Medical and Veterinary Entomology,2018,"All Open Access, Bronze",Closed,10.1111/mve.12314
"Neurological and Neuropsychological Changes Associated with SARS-CoV-2 Infection: New Observations, New Mechanisms",Neuroscientist,2020,"All Open Access, Bronze",Closed,10.1177/1073858420984106
Synthesis of New Nitride Alloys with Mg by Plasma-Assisted Molecular Beam Epitaxy,Physica Status Solidi (B) Basic Research,2020,"All Open Access, Bronze",Closed,10.1002/pssb.202000122
Retrorectus repair of incisional ventral hernia with urinary bladder matrix reinforcement in a long-term porcine model,Regenerative Medicine,2018,"All Open Access, Hybrid Gold",Closed,10.2217/rme-2018-0023
