title,source_title,year,oa_status_2022_december,oa_status_2023_january,DOI
The Corporate War Dead: New Perspectives on the Demographics of American and British Contractors,Armed Forces and Society,2020,"All Open Access, Bronze",Closed,10.1177/0095327X18811375
“Inverse” Frustrated Lewis Pairs: An Inverse FLP Approach to the Catalytic Metal Free Hydrogenation of Ketones,Chemistry - A European Journal,2018,"All Open Access, Bronze",Closed,10.1002/chem.201804370
Platform adoption by mobile application developers: A multimethodological approach,Decision Support Systems,2018,"All Open Access, Green",Closed,10.1016/j.dss.2017.12.013
Compliance with school nutrition policy in saudi arabia: A quantitative study | Respect de la politique nutritionnelle en milieu scolaire en Arabie saoudite: étude quantitative,Eastern Mediterranean Health Journal,2019,"All Open Access, Bronze",Closed,10.26719/emhj.18.034
A latitudinal gradient in dimensionality of biodiversity,Ecography,2018,"All Open Access, Bronze",Closed,10.1111/ecog.03654
A national level assessment of metal contamination in bats,Environmental Pollution,2016,"All Open Access, Green",Closed,10.1016/j.envpol.2016.04.079
Iron speciation in organic matter fractions isolated from soils amended with biochar and organic fertilizers,Environmental Science and Technology,2020,"All Open Access, Green",Closed,10.1021/acs.est.0c00042
Ecological risk assessment of perfluooroctane sulfonate to aquatic fauna from a bayou adjacent to former fire training areas at a US Air Force installation,Environmental Toxicology and Chemistry,2018,"All Open Access, Bronze",Closed,10.1002/etc.4162
Temporal monitoring of perfluorooctane sulfonate accumulation in aquatic biota downstream of historical aqueous film forming foam use areas,Environmental Toxicology and Chemistry,2017,"All Open Access, Bronze",Closed,10.1002/etc.3726
Issues Involving International Adoption,Family Journal,2020,"All Open Access, Bronze",Closed,10.1177/1066480719887494
The Neuroergonomics of Vigilance: Effects of Spatial Uncertainty on Cerebral Blood Flow Velocity and Oculomotor Fatigue,Human Factors,2017,"All Open Access, Bronze",Closed,10.1177/0018720816683121
Analysis of refracturing in horizontal wells: Insights from the poroelastic displacement discontinuity method,International Journal for Numerical and Analytical Methods in Geomechanics,2018,"All Open Access, Bronze",Closed,10.1002/nag.2792
"COVID-19 and youth sports: Psychological, Developmental, and Economic Impacts",International Journal of Sport Communication,2020,"All Open Access, Bronze",Closed,10.1123/ijsc.2020-0236
Trends in the incidence and outcomes of hospitalized cancer patients with Clostridium difficile infection: A nationwide analysis,JNCCN Journal of the National Comprehensive Cancer Network,2017,"All Open Access, Bronze",Closed,10.6004/jnccn.2017.0046
Defining and classifying migratory habitats as sources and sinks: The migratory pathway approach,Journal of Applied Ecology,2018,"All Open Access, Bronze",Closed,10.1111/1365-2664.12952
Argentina and the COVID-19: Lessons learned from education and technical colleges in Buenos Aires Province,Journal of Education for Teaching,2020,"All Open Access, Bronze",Closed,10.1080/02607476.2020.1802204
Microbiological profile of three commercial poultry processing plants in Colombia,Journal of Food Protection,2017,"All Open Access, Hybrid Gold",Closed,10.4315/0362-028X.JFP-17-028
Romantic Love in the Age of COVID-19,Journal of Loss and Trauma,2020,"All Open Access, Bronze",Closed,10.1080/15325024.2020.1763557
"The Strong, Silent Type(ology): Examining Intersections of Alexithymia and the Drive for Muscularity",Journal of Men's Studies,2019,"All Open Access, Bronze",Closed,10.1177/1060826518782976
Closing the loop: Empirical evidence for a positive feedback model of IT business value creation,Journal of Strategic Information Systems,2017,"All Open Access, Green",Closed,10.1016/j.jsis.2016.12.001
"New records of Aedes aegypti and Aedes albopictus in eight Texas counties, U.S.A.",Journal of Vector Ecology,2019,"All Open Access, Bronze",Closed,10.1111/jvec.12345
Accommodation Needs for Teachers Who are Blind and Teach Students with Visual Impairments,Journal of Visual Impairment and Blindness,2019,"All Open Access, Green",Closed,10.1177/0145482X19854902
The Influence-Network Model of the Photojournalistic Icon,Journalism and Communication Monographs,2018,"All Open Access, Hybrid Gold",Closed,10.1177/1522637918803351
"A Meta-Analysis of News Media’s Public Agenda-Setting Effects, 1972-2015",Journalism and Mass Communication Quarterly,2019,"All Open Access, Bronze",Closed,10.1177/1077699018804500
“Dreamers” or threat: Bilingual frame building of DACA immigrants,Newspaper Research Journal,2019,"All Open Access, Bronze",Closed,10.1177/0739532918814448
Development of a LIDAR array to study and classify wakes at the U.S. Department of Energy (DOE)/Sandia National Laboratories Scaled Wind Farm Technology (SWiFT) facility,Wind Engineering,2019,"All Open Access, Bronze",Closed,10.1177/0309524X18818648
