title,source_title,year,oa_status_2023_january,oa_status_2023_february,DOI
Row spacing of alfalfa interseeded into native grass pasture influences soil-plant-water relations,Agronomy Journal,2020,"All Open Access, Bronze",Closed,10.1002/agj2.20012
A proactive blueprint to demonstrate on-farm animal welfare,"CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources",2019,"All Open Access, Green",Closed,10.1079/PAVSNNR201914037
Adsorption process of polar and nonpolar compounds in a nanopore model of humic substances,European Journal of Soil Science,2020,"All Open Access, Hybrid Gold",Closed,10.1111/ejss.12865
"The 2019 FASEB Science Research Conference on The Mobile DNA Conference: 25 Years of Discussion and Research, June 23–28, Palm Springs, California, USA",FASEB Journal,2019,"All Open Access, Bronze",Closed,10.1096/fj.201902390
"My Dear Buret, Your Time Has Indeed Come!",Journal of Chemical Education,2016,"All Open Access, Bronze",Closed,10.1021/acs.jchemed.5b00773
Interaction between crack tip advancement and fluid flow in fracturing saturated porous media,Mechanics Research Communications,2017,"All Open Access, Green",Closed,10.1016/j.mechrescom.2016.09.011
Protective Effects of Anthocyanins in Obesity-Associated Inflammation and Changes in Gut Microbiome,Molecular Nutrition and Food Research,2019,"All Open Access, Bronze",Closed,10.1002/mnfr.201900149
"Sex-biased gene expression in flowers, but not leaves, reveals secondary sexual dimorphism in Populus balsamifera",New Phytologist,2019,"All Open Access, Bronze",Closed,10.1111/nph.15421
Inactivation of adipose angiotensinogen reduces adipose tissue macrophages and increases metabolic activity,Obesity,2016,"All Open Access, Bronze",Closed,10.1002/oby.21352
Role of GhHDA5 in H3K9 deacetylation and fiber initiation in Gossypium hirsutum,Plant Journal,2018,"All Open Access, Bronze",Closed,10.1111/tpj.14011
"The Foreign Policy Rhetoric of Populism: Chávez, Oil, and Anti-imperialism",Political Research Quarterly,2019,"All Open Access, Bronze",Closed,10.1177/1065912918784212
Risk or Efficacy? How Psychological Distance Influences Climate Change Engagement,Risk Analysis,2020,"All Open Access, Bronze",Closed,10.1111/risa.13446
E-Eye: MmWave nonlinear response for hidden electronic device recognition: Demo abstract,SenSys 2019 - Proceedings of the 17th Conference on Embedded Networked Sensor Systems,2019,"All Open Access, Bronze",Closed,10.1145/3356250.3361932
Enhanced estimation of boundary layer advective properties to improve space-to-time conversion processes for wind energy applications,Wind Energy,2019,"All Open Access, Bronze",Closed,10.1002/we.2350
