source_title,year,pub_stage,oa_status_march,DOI
Archives of Suicide Research,2020,Article in Press,"All Open Access, Green",10.1080/13811118.2020.1841052
BMC emergency medicine,2018,Final,"All Open Access, Gold, Green",10.1186/s12873-018-0186-1
Bulletin of the American Meteorological Society,2017,Final,"All Open Access, Green",10.1175/BAMS-D-16-0343.1
Communication Research Reports,2018,Final,Closed,10.1080/08824096.2018.1425985
Current Psychology,2020,Article in Press,Closed,10.1007/s12144-020-00680-w
Die Naturwissenschaften,2017,Final,Closed,10.1007/s00114-017-1508-y
Early Child Development and Care,2020,Article in Press,Closed,10.1080/03004430.2020.1764947
Energy Economics,2019,Final,Closed,10.1016/j.eneco.2018.12.019
Human Factors,2020,Article in Press,Closed,10.1177/0018720820965294
IEEE Transactions on Intelligent Transportation Systems,2020,Article in Press,Closed,10.1109/TITS.2020.3036326
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2020,Article in Press,Closed,10.1109/TSMC.2020.3037071
International Journal for Numerical Methods in Biomedical Engineering,2019,Final,"All Open Access, Bronze, Green",10.1002/cnm.3156
International Journal of Sports Physiology and Performance,2016,Final,"All Open Access, Green",10.1123/ijspp.2014-0559
Journal of American College Health,2020,Article in Press,Closed,10.1080/07448481.2020.1752696
Journal of Creativity in Mental Health,2020,Article in Press,Closed,10.1080/15401383.2020.1842277
Journal of Disability Policy Studies,2020,Article in Press,Closed,10.1177/1044207320964396
Journal of Education,2020,Article in Press,Closed,10.1177/0022057420979602
"Journal of Elections, Public Opinion and Parties",2020,Article in Press,Closed,10.1080/17457289.2019.1711098
Journal of Ethnicity in Substance Abuse,2020,Article in Press,"All Open Access, Green",10.1080/15332640.2020.1781732
Journal of Feminist Family Therapy,2017,Final,Closed,10.1080/08952833.2017.1373577
Journal of Intelligent Manufacturing,2020,Article in Press,Closed,10.1007/s10845-020-01708-5
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2020,Article in Press,Closed,10.1080/15472450.2020.1807346
Journal of Neurochemistry,2018,Final,"All Open Access, Bronze, Green",10.1111/jnc.14614
Journal of Petroleum Science and Engineering,2019,Final,Closed,10.1016/j.petrol.2019.106252
Journal of Telemedicine and Telecare,2019,Final,Closed,10.1177/1357633X17745470
Journal of the Association of Environmental and Resource Economists,2019,Final,"All Open Access, Bronze",10.1086/705505
Marketing Education Review,2020,Article in Press,Closed,10.1080/10528008.2020.1843360
"Media, War and Conflict",2020,Article in Press,Closed,10.1177/1750635220948548
Papers of the Bibliographical Society of America,2018,Final,Closed,10.1086/700412
Personalized Medicine,2019,Final,Closed,10.2217/pme-2016-0058
Philosophical Transactions of the Royal Society B: Biological Sciences,2020,Final,Closed,10.1098/rstb.2019.0586rstb20190586
Physiotherapy Theory and Practice,2020,Article in Press,Closed,10.1080/09593985.2020.1783729
Psychology and Sexuality,2020,Article in Press,Closed,10.1080/19419899.2020.1824937
Psychology and Sexuality,2020,Article in Press,Closed,10.1080/19419899.2020.1765411
Rapid communications in mass spectrometry : RCM,2017,Final,"All Open Access, Bronze",10.1002/rcm.7884
Research in Science Education,2020,Article in Press,Closed,10.1007/s11165-020-09978-y
Royal Society Open Science,2020,Final,Closed,10.1098/rsos.200322rsos200322
Science Signaling,2018,Final,"All Open Access, Green",10.1126/scisignal.aau7632
Sexual Abuse: Journal of Research and Treatment,2020,Article in Press,Closed,10.1177/1079063220912451
Soil Science Society of America Journal,2018,Final,Closed,10.2136/sssaj2017.11.0380
Strategic Organization,2020,Article in Press,Closed,10.1177/1476127020926174
The primary care companion for CNS disorders,2020,Final,Closed,10.4088/PCC.20com02703
The primary care companion for CNS disorders,2020,Final,Closed,10.4088/PCC.20com02677
Universal Access in the Information Society,2020,Article in Press,Closed,10.1007/s10209-020-00757-0
Vehicle System Dynamics,2020,Article in Press,Closed,10.1080/00423114.2020.1845755
Visual Communication,2020,Article in Press,Closed,10.1177/1470357220915605
Water (Switzerland),2020,Final,"All Open Access, Gold",10.3390/W12041023
